product,handle,jewellery,position,width,height,ratio,is_hero,under_800px,url
Midnight Bloom,midnight-bloom,False,2,1537,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-bloom-0.jpg
Midnight Bloom,midnight-bloom,False,3,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-bloom-1.jpg
Midnight Bloom,midnight-bloom,False,4,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-bloom-2.jpg
Midnight Bloom,midnight-bloom,False,5,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-bloom-3.jpg
Ivory Whisper Co-ord Set,ivory-whisper-co-ord-set,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ivory-whisper-co-ord-set.jpg
Ivory Whisper Co-ord Set,ivory-whisper-co-ord-set,False,2,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ivory-whisper-co-ord-set-0.jpg
Ivory Whisper Co-ord Set,ivory-whisper-co-ord-set,False,3,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ivory-whisper-co-ord-set-1.jpg
Ivory Whisper Co-ord Set,ivory-whisper-co-ord-set,False,4,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ivory-whisper-co-ord-set-2.jpg
Ivory Whisper Co-ord Set,ivory-whisper-co-ord-set,False,5,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ivory-whisper-co-ord-set-3.jpg
Sunset Reverie,sunset-reverie,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/sunset-reverie.jpg
Sunset Reverie,sunset-reverie,False,2,1537,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/sunset-reverie-0.jpg
Sunset Reverie,sunset-reverie,False,3,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/sunset-reverie-1.jpg
Sunset Reverie,sunset-reverie,False,4,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/sunset-reverie-2.jpg
Sunset Reverie,sunset-reverie,False,5,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/sunset-reverie-3.jpg
Lilac Whisper,lilac-whisper,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/lilac-whisper.jpg
Lilac Whisper,lilac-whisper,False,2,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/lilac-whisper-0.jpg
Lilac Whisper,lilac-whisper,False,3,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/lilac-whisper-1.jpg
Lilac Whisper,lilac-whisper,False,4,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/lilac-whisper-2.jpg
Lilac Whisper,lilac-whisper,False,5,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/lilac-whisper-3.jpg
Crimson Legacy Set,crimson-legacy-set,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/crimson-legacy-set.jpg
Crimson Legacy Set,crimson-legacy-set,False,2,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/crimson-legacy-set-0.jpg
Crimson Legacy Set,crimson-legacy-set,False,3,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/crimson-legacy-set-1.jpg
Crimson Legacy Set,crimson-legacy-set,False,4,1365,2048,0.67,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/crimson-legacy-set-2.jpg
Heritage Mosaic,heritage-mosaic,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heritage-mosaic.jpg
Heritage Mosaic,heritage-mosaic,False,2,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heritage-mosaic-0.jpg
Heritage Mosaic,heritage-mosaic,False,3,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heritage-mosaic-1.jpg
Heritage Mosaic,heritage-mosaic,False,4,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heritage-mosaic-2.jpg
Heritage Mosaic,heritage-mosaic,False,5,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heritage-mosaic-3.jpg
Heritage Mosaic,heritage-mosaic,False,6,1537,2047,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heritage-mosaic-4.jpg
Noir Mela,noir-mela,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/noir-mela.jpg
Noir Mela,noir-mela,False,2,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/noir-mela-0.jpg
Noir Mela,noir-mela,False,3,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/noir-mela-1.jpg
Noir Mela,noir-mela,False,4,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/noir-mela-2.jpg
Tangerine Bloom,tangerine-bloom,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/tangerine-bloom.jpg
Tangerine Bloom,tangerine-bloom,False,2,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/tangerine-bloom-0.jpg
Tangerine Bloom,tangerine-bloom,False,3,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/tangerine-bloom-1.jpg
Tangerine Bloom,tangerine-bloom,False,4,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/tangerine-bloom-2.jpg
Gulaal Mirage,gulaal-mirage,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/gulaal-mirage.jpg
Gulaal Mirage,gulaal-mirage,False,2,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/gulaal-mirage-0.jpg
Gulaal Mirage,gulaal-mirage,False,3,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/gulaal-mirage-1.jpg
Gulaal Mirage,gulaal-mirage,False,4,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/gulaal-mirage-2.jpg
Gulaal Mirage,gulaal-mirage,False,5,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/gulaal-mirage-3.jpg
Midnight Éclat,midnight-eclat,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat.jpg
Midnight Éclat,midnight-eclat,False,2,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat-0.jpg
Midnight Éclat,midnight-eclat,False,3,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat-1.jpg
Midnight Éclat,midnight-eclat,False,4,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat-2.jpg
Midnight Éclat,midnight-eclat,False,5,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat-3.jpg
Midnight Éclat,midnight-eclat,False,6,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat-4.jpg
Midnight Éclat,midnight-eclat,False,7,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/midnight-eclat-5.jpg
Nocturne Veil,nocturne-veil,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/nocturne-veil.jpg
Nocturne Veil,nocturne-veil,False,2,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/nocturne-veil-0.jpg
Nocturne Veil,nocturne-veil,False,3,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/nocturne-veil-1.jpg
Nocturne Veil,nocturne-veil,False,4,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/nocturne-veil-2.jpg
Nocturne Veil,nocturne-veil,False,5,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/nocturne-veil-3.jpg
Celeste Bloom,celeste-bloom,False,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/celeste-bloom.jpg
Celeste Bloom,celeste-bloom,False,2,1536,2048,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/celeste-bloom-0.jpg
Rivière Eternal Necklace,riviere-eternal-necklace,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/riviere-eternal-necklace-0_47d234c3-abc4-4cfe-a9ab-caa3ae2e1fb5.jpg
Rivière Eternal Necklace,riviere-eternal-necklace,True,2,1280,1714,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/riviere-eternal-necklace-1.jpg
Rivière Eternal Necklace,riviere-eternal-necklace,True,3,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/riviere-eternal-necklace-2.jpg
Rivière Eternal Necklace,riviere-eternal-necklace,True,4,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b3_a6492ca4-26e4-4a64-8b57-72506134c6f5.jpg
Heartline Paperclip Necklace,heartline-paperclip-necklace,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heartline-paperclip-necklace-0_660f5314-75b0-4ab9-8d78-cfb1bb519987.jpg
Heartline Paperclip Necklace,heartline-paperclip-necklace,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heartline-paperclip-necklace-1.jpg
Heartline Paperclip Necklace,heartline-paperclip-necklace,True,3,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heartline-paperclip-necklace-2.jpg
Heartline Paperclip Necklace,heartline-paperclip-necklace,True,4,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/heartline-paperclip-necklace-3.jpg
Heartline Paperclip Necklace,heartline-paperclip-necklace,True,5,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b13_a87c1294-2b6b-4edf-9165-1050d133780c.jpg
Bold Nocturne Chain,bold-nocturne-chain,True,1,2048,2048,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/hf_20260829_202820_ced0ce1b-4902-4f44-96ba-51ad4982a154.png
Bold Nocturne Chain,bold-nocturne-chain,True,2,2048,2048,1:1,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/hf_20260829_202820_d8c5c163-56ee-43d5-9271-645333345fb2.png
Bold Nocturne Chain,bold-nocturne-chain,True,3,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/YF5144_2_worn.png
Bold Nocturne Chain,bold-nocturne-chain,True,4,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b8.jpg
Bold Nocturne Chain,bold-nocturne-chain,True,5,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/YF5144_3_alt.png
Pearl Legacy Necklace,pearl-legacy-necklace,True,1,2048,2048,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/hf_20260829_210929_aec8f93f-574c-4925-8d00-b81adc2858f6.png
Pearl Legacy Necklace,pearl-legacy-necklace,True,2,2048,2048,1:1,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/hf_20260829_210929_71319de7-6034-4185-9032-43c8e3d44629.png
Pearl Legacy Necklace,pearl-legacy-necklace,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b4_057a7816-4622-48df-8066-3a93f309a599.jpg
Serpentine Whisper Chain,serpentine-whisper-chain,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/serpentine-whisper-chain-0_51e2b606-e02d-4389-a9ab-79e1a02faccd.jpg
Serpentine Whisper Chain,serpentine-whisper-chain,True,2,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/serpentine-whisper-chain-3.jpg
Serpentine Whisper Chain,serpentine-whisper-chain,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b15_65fadc0d-065e-4cfe-9430-79a2df35e005.jpg
Serpentine Whisper Chain,serpentine-whisper-chain,True,4,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/IMG-3060.png
Serpentine Whisper Chain,serpentine-whisper-chain,True,5,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/IMG-3059.png
Marquise Layering Set,marquise-layering-set,True,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/marquise-layering-set.jpg
Marquise Layering Set,marquise-layering-set,True,2,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/marquise-layering-set-1.jpg
Marquise Layering Set,marquise-layering-set,True,3,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/marquise-layering-set-2.jpg
Marquise Layering Set,marquise-layering-set,True,4,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b8_9f3eba87-3d71-45eb-9239-ee310e8dd73e.jpg
Charm Box Chain,charm-box-chain,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/charm-box-chain-0_829299c5-a731-48ba-96fd-cbfcd3491b7b.jpg
Charm Box Chain,charm-box-chain,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/charm-box-chain-1.jpg
Charm Box Chain,charm-box-chain,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b15_e796aad4-30f4-4e68-850d-0147e53faa30.jpg
Charm Box Chain,charm-box-chain,True,4,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/charm-box-chain-2.jpg
Charm Box Chain,charm-box-chain,True,5,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/charm-box-chain-4.jpg
Toggle Link Chain,toggle-link-chain,True,1,896,896,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/toggle-link-chain-0_76a74b42-6390-48d6-83cc-5676227b5e81.jpg
Toggle Link Chain,toggle-link-chain,True,2,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/toggle-link-chain-1.jpg
Toggle Link Chain,toggle-link-chain,True,3,640,857,3:4,False,True,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/toggle-link-chain-2.jpg
Toggle Link Chain,toggle-link-chain,True,4,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b3_6254fb2d-0604-41e9-8300-e144ba6e2461.jpg
Baroque Pearl Lariat,baroque-pearl-lariat,True,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/baroque-pearl-lariat.jpg
Baroque Pearl Lariat,baroque-pearl-lariat,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/baroque-pearl-lariat-1.jpg
Baroque Pearl Lariat,baroque-pearl-lariat,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b10.jpg
Baroque Pearl Lariat,baroque-pearl-lariat,True,4,1600,1986,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/baroque-pearl-lariat-2.jpg
Baroque Pearl Lariat,baroque-pearl-lariat,True,5,1179,1391,0.85,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/2483C5F2-0731-47C6-8A45-369076AFD93A.jpg
Baroque Pearl Lariat,baroque-pearl-lariat,True,6,1161,1388,0.84,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/1DAA5604-FA4D-4B9E-A3D8-4E16DA8C9A78.jpg
Petite Pearl Chain,petite-pearl-chain,True,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/petite-pearl-chain.jpg
Petite Pearl Chain,petite-pearl-chain,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/petite-pearl-chain-0.jpg
Petite Pearl Chain,petite-pearl-chain,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b2_8432f2b1-bd17-40a1-a3aa-c1227cbc09ae.jpg
Petite Pearl Chain,petite-pearl-chain,True,4,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/petite-pearl-chain-1.jpg
Petite Pearl Chain,petite-pearl-chain,True,5,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/petite-pearl-chain-2.jpg
Petite Pearl Chain,petite-pearl-chain,True,6,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/petite-pearl-chain-3.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/molten-bloom-hoops-0_26771e6d-f11a-4437-901d-45929c48331e.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/molten-bloom-hoops-1.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,3,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/molten-bloom-hoops-2.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,4,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b11.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,5,2048,2048,1:1,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/molten-bloom-hoops-3.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,6,640,794,4:5,False,True,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/molten-bloom-hoops-4.jpg
Molten Bloom Hoops,molten-bloom-hoops,True,7,640,794,4:5,False,True,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/molten-bloom-hoops-5.jpg
Clover Trio Edit,clover-trio-edit,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/clover-trio-edit-0_ed1fda50-33d5-436b-a5c6-3c9133b4bf74.jpg
Clover Trio Edit,clover-trio-edit,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/clover-trio-edit-1.jpg
Clover Trio Edit,clover-trio-edit,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b6_4e5bb319-5269-4517-8d42-88721aac06af.jpg
Clover Trio Edit,clover-trio-edit,True,4,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/clover-trio-edit-2.jpg
Clover Trio Edit,clover-trio-edit,True,5,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/clover-trio-edit-3.jpg
Clover Trio Edit,clover-trio-edit,True,6,2048,2048,1:1,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/clover-trio-edit-5.jpg
Woven Gold Hoops,woven-gold-hoops,True,1,896,896,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/woven-gold-hoops-0_6c9f6b30-a09f-479d-bbfa-ab40df3853a4.jpg
Woven Gold Hoops,woven-gold-hoops,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/woven-gold-hoops-1.jpg
Woven Gold Hoops,woven-gold-hoops,True,3,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/woven-gold-hoops-2.jpg
Woven Gold Hoops,woven-gold-hoops,True,4,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/woven-gold-hoops-3.jpg
Woven Gold Hoops,woven-gold-hoops,True,5,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/woven-gold-hoops-4.jpg
Woven Gold Hoops,woven-gold-hoops,True,6,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b7_4901d496-c260-4092-a6be-a3ae76a35343.jpg
Verdant Drop Earrings,verdant-drop-earrings,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/verdant-drop-earrings-0_2bb7d173-2148-463b-9ada-2ab9a25d3383.jpg
Verdant Drop Earrings,verdant-drop-earrings,True,2,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/verdant-drop-earrings-1.jpg
Verdant Drop Earrings,verdant-drop-earrings,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b14.jpg
Verdant Drop Earrings,verdant-drop-earrings,True,4,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/verdant-drop-earrings-2.jpg
Verdant Drop Earrings,verdant-drop-earrings,True,5,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/verdant-drop-earrings-3.jpg
Verdant Drop Earrings,verdant-drop-earrings,True,6,1280,1714,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/verdant-drop-earrings-4.jpg
Ribbon Bow Earrings,ribbon-bow-earrings,True,1,1500,1500,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ribbon-bow-earrings.jpg
Ribbon Bow Earrings,ribbon-bow-earrings,True,2,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ribbon-bow-earrings-0.jpg
Ribbon Bow Earrings,ribbon-bow-earrings,True,3,1856,2304,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/naira-packaging-b1_2af9b1d3-6cff-4b51-ab53-dc5cd136d54b.jpg
Ribbon Bow Earrings,ribbon-bow-earrings,True,4,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ribbon-bow-earrings-2.jpg
Ribbon Bow Earrings,ribbon-bow-earrings,True,5,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ribbon-bow-earrings-3.jpg
Ribbon Bow Earrings,ribbon-bow-earrings,True,6,1649,2048,4:5,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/ribbon-bow-earrings-4.jpg
Textured Gold Hoops,textured-gold-hoops,True,1,1649,1649,1:1,True,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/textured-gold-hoops-0_039c8b77-a5ed-4539-8e2a-97a3fa43b662.jpg
Textured Gold Hoops,textured-gold-hoops,True,2,896,1200,3:4,False,False,https://cdn.shopify.com/s/files/1/0680/9606/5698/files/textured-gold-hoops-2.jpg
